0.054 0 0.0154849 -0.00909086 1.41254 0.413911
0.054 1 0.00381533 0.0314104 -0.438002 1.35057
0.054 2 -0.0487283 0.0547034 -1.19949 3.24542
0.054 3 -0.0247024 0.143315 -0.378682 2.4125
0.054 4 -0.126884 0.0448919 -3.95318 1.77224
0.054 5 -0.0845756 0.0675201 -1.25418 4.0581
0.054 6 0.0205734 -0.0168767 -1.71542 -1.60837
0.054 7 0.00623181 -0.011093 -1.6321 -0.200401
0.054 8 0.014636 -0.0372067 0.633247 -1.50396
0.054 9 0.0120316 0.102704 1.2024 3.55668
0.06 0 0.0179786 -0.00908339 0.544631 -0.606983
0.06 1 -0.000550355 0.0391302 -0.112013 2.07023
0.06 2 -0.0537002 0.075526 -0.445671 3.85171
0.06 3 -0.0218253 0.153936 0.753907 1.11856
0.06 4 -0.153294 0.0550085 -3.86739 1.87387
0.06 5 -0.0886019 0.0910972 0.227884 3.81871
0.06 6 0.0100896 -0.0241346 -1.61001 -1.19579
0.06 7 -0.00798424 -0.00929121 -2.03108 0.751115
0.06 8 0.0224923 -0.0447563 1.63878 -0.928538
0.06 9 0.0200078 0.124257 1.73484 3.34891
0.066 0 0.0198311 -0.0152258 -0.200907 -1.02748
0.066 1 0.00446417 0.0527599 2.12286 2.07961
0.066 2 -0.0618658 0.0933069 -1.96457 2.77236
0.066 3 -0.0135878 0.156867 2.03482 0.800909
0.066 4 -0.170015 0.0668083 -1.8822 1.28497
0.066 5 -0.0861157 0.111171 0.473086 2.54629
0.066 6 0.00650945 -0.0301305 -0.186552 -1.66339
0.066 7 -0.0163691 -0.0034083 -1.22323 1.96547
0.066 8 0.030158 -0.0435476 0.831844 0.970031
0.066 9 0.0284621 0.135786 1.14286 1.78405
0.072 0 0.0181591 -0.0193706 -0.711667 -0.605247
0.072 1 0.0188785 0.0608286 2.33713 0.409333
0.072 2 -0.0746507 0.110091 -1.67694 2.7647
0.072 3 0.00448011 0.157894 3.52955 0.497927
0.072 4 -0.179698 0.0779751 -1.07568 0.908301
0.072 5 -0.0824992 0.122371 0.38704 0.533755
0.072 6 0.00333361 -0.038959 -1.28909 -1.64344
0.072 7 -0.0225713 0.00673487 -0.972822 2.01427
0.072 8 0.0379584 -0.0312027 1.62769 2.2228
0.072 9 0.037961 0.148759 1.60499 3.23459
0.078 0 0.0135113 -0.0206967 -1.50794 -0.264758
0.078 1 0.0337591 0.0626912 2.76022 0.449644
0.078 2 -0.0822322 0.133457 -1.09955 4.78589
0.078 3 0.0282273 0.157754 3.98727 0.057863
0.078 4 -0.185782 0.0777268 -1.0607 -0.657969
0.078 5 -0.0788837 0.126045 0.438647 1.61377
0.078 6 -0.00138165 -0.0487333 0.27761 -2.11014
0.078 7 -0.0302453 0.0155821 -0.710836 1.38928
0.078 8 0.0428888 -0.0165402 0.523835 2.64852
0.078 9 0.0495835 0.171086 2.1436 3.72786
0.084 0 0.0049598 -0.0268309 -1.12768 -1.73207
0.084 1 0.0460037 0.0666526 1.8277 0.943176
0.084 2 -0.0889955 0.163815 -0.884332 4.98746
0.084 3 0.0468312 0.155764 2.66828 -0.0575398
0.084 4 -0.188315 0.0734593 0.116113 -0.601651
0.084 5 -0.0758747 0.133319 0.369837 1.04738
0.084 6 -0.00315587 -0.0581615 -1.74204 -1.16391
0.084 7 -0.0358811 0.0267653 -1.43673 1.82424
0.084 8 0.0477247 0.00242472 0.804432 2.9915
0.084 9 0.0603514 0.195491 1.79705 4.78105
0.09 0 -0.000753178 -0.0357929 -0.491564 -0.894682
0.09 1 0.0604196 0.0730766 2.86092 0.447929
0.09 2 -0.0952348 0.190429 -1.23427 4.06914
0.09 3 0.0590502 0.157912 2.09018 1.23971
0.09 4 -0.187287 0.0655354 0.330647 -2.09054
0.09 5 -0.07494 0.140031 -0.211256 0.857069
0.09 6 -0.0100092 -0.0564635 -0.405402 1.72079
0.09 7 -0.0408523 0.0398456 0.332235 3.06348
0.09 8 0.051612 0.0193432 0.600042 2.38895
0.09 9 0.0715344 0.220046 1.68723 3.05868
0.096 0 -0.00287798 -0.0421443 -0.0570073 -0.712087
0.096 1 0.0800853 0.0756898 4.22573 0.50745
0.096 2 -0.106484 0.218551 -1.867 4.46875
0.096 3 0.0713693 0.166673 2.17125 1.3789
0.096 4 -0.182896 0.052309 0.937688 -2.15366
